"","Date","count","OwnerOccupancyRate","HousingUnits","HouseholdMedianIncome","PercentVacant","Population","PercentWhiteNH","PercentAA","PercentAsian","PercentHispanic","UnemploymentRate","medianAge","percentCollegeEducated","ZIP","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","ZHVI1bed","ZHVI2bed","ZHVI3bed","ZHVI4bed","ZHVI5bed","MORTGAGE30US","ABNBConcentration"
"1",2021-10-01,208,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,0,0,0,0,0,0,1,0,0,239782.955460325,444895.396265953,980557.056927418,1679775.83904448,3658177.49163451,3.01,1.64609053497942
"2",2021-11-01,222,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,0,0,0,0,0,0,0,1,0,243257.65180209,452500.809628543,1002139.08228103,1719261.0014926,3741753.67549238,3.14,1.75688509021842
"3",2021-12-01,238,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,0,0,0,0,0,0,0,0,1,247151.29887788,461053.4288971,1026846.6306588,1766782.70560231,3839467.2281436,3.1,1.88350743906299
"4",2022-01-01,255,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",1,0,0,0,0,0,0,0,0,0,0,0,251523.878082956,470369.950590525,1053527.82259398,1818337.86377963,3943448.97780861,3.11,2.01804368471035
"5",2022-02-01,269,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,1,0,0,0,0,0,0,0,0,0,0,257092.646785913,480419.628038158,1086505.26475256,1884796.9878118,4074367.57389728,3.55,2.12883823994935
"6",2022-03-01,285,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,1,0,0,0,0,0,0,0,0,0,263363.483909875,490086.888176134,1122802.94021895,1961588.27742756,4227838.58507271,3.89,2.25546058879392
"7",2022-04-01,301,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,1,0,0,0,0,0,0,0,0,271221.062727818,501752.601785593,1166292.77513666,2049964.25537367,4400994.4612499,4.67,2.38208293763849
"8",2022-05-01,316,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,0,1,0,0,0,0,0,0,0,279590.241297195,515743.341897431,1212103.61883137,2139614.36292203,4576641.92940765,5.1,2.50079138968028
"9",2022-06-01,335,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,0,0,1,0,0,0,0,0,0,287599.936950213,530796.788099355,1254622.68686729,2218633.41624652,4714733.57440668,5.1,2.65115542893321
"10",2022-07-01,365,39.7,12636,104436,27.4295663184552,16261,62.7,8.1,2.4,16.4,1.6,42.6,59.9,"33301",0,0,0,0,0,0,1,0,0,0,0,0,295041.782124449,544796.758389433,1292360.42035954,2289401.53877449,4833661.79262384,5.7,2.88857233301678
